2024-07-30 21:23:23 status unpacked dbus-system-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:23 install dbus:amd64 <none> 1.14.10-1~deb12u1
2024-07-30 21:23:23 status half-installed dbus:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 status unpacked dbus:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 install libbsd0:amd64 <none> 0.11.7-2
2024-07-30 21:23:23 status half-installed libbsd0:amd64 0.11.7-2
2024-07-30 21:23:23 status unpacked libbsd0:amd64 0.11.7-2
2024-07-30 21:23:23 install libedit2:amd64 <none> 3.1-20221030-2
2024-07-30 21:23:23 status half-installed libedit2:amd64 3.1-20221030-2
2024-07-30 21:23:23 status unpacked libedit2:amd64 3.1-20221030-2
2024-07-30 21:23:23 install libcbor0.8:amd64 <none> 0.8.0-2+b1
2024-07-30 21:23:23 status half-installed libcbor0.8:amd64 0.8.0-2+b1
2024-07-30 21:23:23 status unpacked libcbor0.8:amd64 0.8.0-2+b1
2024-07-30 21:23:23 install libfido2-1:amd64 <none> 1.12.0-2+b1
2024-07-30 21:23:23 status half-installed libfido2-1:amd64 1.12.0-2+b1
2024-07-30 21:23:23 status unpacked libfido2-1:amd64 1.12.0-2+b1
2024-07-30 21:23:23 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2024-07-30 21:23:23 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2024-07-30 21:23:23 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 install libkeyutils1:amd64 <none> 1.6.3-2
2024-07-30 21:23:23 status half-installed libkeyutils1:amd64 1.6.3-2
2024-07-30 21:23:23 status unpacked libkeyutils1:amd64 1.6.3-2
2024-07-30 21:23:23 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2024-07-30 21:23:23 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2024-07-30 21:23:23 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:23 install openssh-client:amd64 <none> 1:9.2p1-2+deb12u3
2024-07-30 21:23:23 status half-installed openssh-client:amd64 1:9.2p1-2+deb12u3
2024-07-30 21:23:23 status unpacked openssh-client:amd64 1:9.2p1-2+deb12u3
2024-07-30 21:23:23 install openssh-sftp-server:amd64 <none> 1:9.2p1-2+deb12u3
2024-07-30 21:23:23 status half-installed openssh-sftp-server:amd64 1:9.2p1-2+deb12u3
2024-07-30 21:23:23 status unpacked openssh-sftp-server:amd64 1:9.2p1-2+deb12u3
2024-07-30 21:23:23 install libncursesw6:amd64 <none> 6.4-4
2024-07-30 21:23:23 status half-installed libncursesw6:amd64 6.4-4
2024-07-30 21:23:23 status unpacked libncursesw6:amd64 6.4-4
2024-07-30 21:23:24 install libproc2-0:amd64 <none> 2:4.0.2-3
2024-07-30 21:23:24 status half-installed libproc2-0:amd64 2:4.0.2-3
2024-07-30 21:23:24 status unpacked libproc2-0:amd64 2:4.0.2-3
2024-07-30 21:23:24 install procps:amd64 <none> 2:4.0.2-3
2024-07-30 21:23:24 status half-installed procps:amd64 2:4.0.2-3
2024-07-30 21:23:24 status unpacked procps:amd64 2:4.0.2-3
2024-07-30 21:23:24 install sensible-utils:all <none> 0.0.17+nmu1
2024-07-30 21:23:24 status half-installed sensible-utils:all 0.0.17+nmu1
2024-07-30 21:23:24 status unpacked sensible-utils:all 0.0.17+nmu1
2024-07-30 21:23:24 install ucf:all <none> 3.0043+nmu1
2024-07-30 21:23:24 status half-installed ucf:all 3.0043+nmu1
2024-07-30 21:23:24 status unpacked ucf:all 3.0043+nmu1
2024-07-30 21:23:24 install runit-helper:all <none> 2.15.2
2024-07-30 21:23:24 status half-installed runit-helper:all 2.15.2
2024-07-30 21:23:24 status unpacked runit-helper:all 2.15.2
2024-07-30 21:23:24 install libtirpc-common:all <none> 1.3.3+ds-1
2024-07-30 21:23:24 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-07-30 21:23:24 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-07-30 21:23:24 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-07-30 21:23:24 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-07-30 21:23:24 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-07-30 21:23:24 install libnsl2:amd64 <none> 1.3.0-2
